L1M_ENT_TYPE,EVA_DATE,ID,REG_CAP,AREA_CODE,INDUS_CATEGORY,ADDRESS,ENT_CERT_TYP,INSERT_DATE,TYPE_CHNG_REA,ENT_SCORE,ENT_TYPE,ENT_NAME,OPR_BUSI_SCOPE,ENT_LGL_PERSON,NADD_DATA_TYP,TYPE_L1M_COMP,PROV_ID,CONTACT_PERSON,D_DELETE,CRT_DATE,U_UPDATE,ENT_EVA_CODE,ECO_TYP,ENT_TYP_NAME,BATCH_NO,ENT_CERT_NO,REG_ORG,ENT_MANG_ORG
,2022-11-15 00:00:00,001f#5eea1f0cc28b53e0#20221115#04,,,,,统一社会信用代码,2022-11-16 09:34:29,,500,B,065DC4DE7B5C9E580F10BE3FD4ED6A0C,,,i,no change,4,,,,2022-11-23 14:16:57,3196172678,,,无,5eea1f0cc28b53e0,,
,2022-11-15 00:00:00,001f#5eea1f0cc28b53e0#20221115#29,,,,,统一社会信用代码,2022-11-16 09:34:29,,500,B,065DC4DE7B5C9E580F10BE3FD4ED6A0C,,,i,no change,29,,,,2022-11-23 14:16:57,3196172678,,,无,5eea1f0cc28b53e0,,
,2022-11-15 00:00:00,0006#405dea184b4e8a8e#20221115#500000,,,,,统一社会信用代码,2022-11-16 09:39:35,,500,B,ADBC818FED2576BD74F2462F350EA34A,,,i,no change,500000,,,,2022-11-23 14:16:20,3196235229,,,无,405dea184b4e8a8e,,
,2022-11-15 00:00:00,007b#030c4ac5b3fc0eb9#20221115#23,,,,,统一社会信用代码,2022-11-16 09:48:03,,400,C,09F9DE4A8E173D7AAE3111E394EF0744,,,i,no change,23,,,,2022-11-23 14:16:09,3196349286,,,无,030c4ac5b3fc0eb9,,
,2022-11-15 00:00:00,0068#0fc43ae6b9d59a70#20221115#520000,,,,,统一社会信用代码,2022-11-16 09:48:41,,400,C,1789ABE8222F2EAD4B66FA40014C468C,,,i,no change,520000,,,,2022-11-23 14:16:58,3196371758,,,无,0fc43ae6b9d59a70,,
,2022-11-15 00:00:00,0066#1a193181aa1f064b#20221115#21,,,,,统一社会信用代码,2022-11-16 09:52:03,企业关系整体情况变好,600,A,56A47AFA63687CAB75A26A8541FB5941,,,i,up,21,,,,2022-11-23 14:16:10,3196433087,,,无,1a193181aa1f064b,,
,2022-11-15 00:00:00,0066#1a193181aa1f064b#20221115#29,,,,,统一社会信用代码,2022-11-16 09:52:03,企业关系整体情况变好,600,A,56A47AFA63687CAB75A26A8541FB5941,,,i,up,29,,,,2022-11-23 14:17:16,3196433097,,,无,1a193181aa1f064b,,
,2022-11-15 00:00:00,0071#655671358f63ecf2#20221115#120000,,,,,统一社会信用代码,2022-11-16 09:57:49,,300,D,286D0DD6D36F5D90741F1FB170A0FE9D,,,i,no change,120000,,,,2022-11-23 14:16:10,3196542216,,,无,655671358f63ecf2,,
,2022-11-15 00:00:00,0071#655671358f63ecf2#20221115#23,,,,,统一社会信用代码,2022-11-16 09:57:49,,300,D,286D0DD6D36F5D90741F1FB170A0FE9D,,,i,no change,23,,,,2022-11-23 14:16:13,3196542219,,,无,655671358f63ecf2,,
,2022-11-15 00:00:00,0059#0312c6bdfe0f2536#20221115#21,,,,,统一社会信用代码,2022-11-16 09:58:10,,600,A,196764728DECC802163DC1B23BFFCDE5,,,i,no change,21,,,,2022-11-23 14:16:28,3196552206,,,无,0312c6bdfe0f2536,,
,2022-11-15 00:00:00,0059#0312c6bdfe0f2536#20221115#29,,,,,统一社会信用代码,2022-11-16 09:58:10,,600,A,196764728DECC802163DC1B23BFFCDE5,,,i,no change,29,,,,2022-11-23 14:16:44,3196552218,,,无,0312c6bdfe0f2536,,
,,0059#0312c6bdfe0f2536#20221115#30,,,,,统一社会信用代码,2022-11-16 10:58:10,,601,A,196764728DECC802163DC1B23BFFCDE6,,,i,no change,30,,,,2022-11-23 15:16:44,3196552219,,,无,0312c6bdfe0f2537,,
,2022-11-15 00:00:00,0046#,,,,,统一社会信用代码,2022-11-16 11:58:10,,602,A,196764728DECC802163DC1B23BFFCDE7,,,i,no change,31,,,,2022-11-23 16:16:44,3196552220,,,无,0312c6bdfe0f2538,,
,2022-11-15 00:00:00,007f#3f9d8d10b505a2d0#20221115#150000,,,,,信用代码,2022-11-16 10:04:05,,400,C,1CF9D0272A2CBB0AF7EC1BEE58A10932,,,i,no change,150000,,,,2022-11-23 14:17:25,3196614557,,,无,3f9d8d10b505a2d0,,
,2022-11-15 00:00:00,0071#62d6b76d85b0febb#20221115#530000,,,,,统一社会信用代码,2022-11-16 10:11:37,,99,D,0B50AF86315570C2C67F529615676813,,,i,no change,530000,,,,2022-11-23 14:16:59,3196713531,,,无,62d6b76d85b0febb,,
,2022-11-15 00:00:00,0025#b203f0202ea60175#20221115#56,,,,,统一社会信用代码,2022-11-16 10:29:16,,600,C,BDE7BBFE7D1F1F517E8B0179F71D449D,,,i,no change,56,,,,2022-11-23 14:21:23,3196846152,,,无,b203f0202ea60175,,
,2022-11-15 00:00:00,007e#b515251d8b51c6b3#20221115#350000,,,,,统一社会信用代码,2022-11-16 18:34:20,,600,A,BA34E0286DB14D877B5661ECECCB305B,,,i,no change,350000,,,,2022-11-23 14:17:31,3204856592,,,无,b515251d8b51c6b3,,
,2022-11-15 00:00:00,003d#73db997ed9927a8b#20221115#370000,,,,,统一社会信用代码,2022-11-16 18:34:39,,400,C,B7000769845828A837F4328AF5F269B1,,,i,no change,370000,,,,2022-11-23 14:17:27,3204869910,,,无,73db997ed9927a8b,,
,2022-11-15 00:00:00,008c#ade2c23be6afbb75#20221115#640000,,,,,统一社会信用代码,2022-11-16 18:41:48,,600,A,2D3E0578CF28D976E0E2C5B4F1FE7C3B,,,i,no change,640000,,,,2022-11-23 14:16:44,3204999953,,,无,ade2c23be6afbb75,,
,2022-11-15 00:00:00,0095#070082877a67d04c#20221115#120000,,,,,统一社会信用代码,2022-11-16 18:43:35,,300,D,FE4E825721DF1D8CF2D6FF718768F67A,,,i,no change,120000,,,,2022-11-23 14:16:59,3205069516,,,无,070082877a67d04c,,
,2022-11-15 00:00:00,0062#32dd16a132819c49#20221115#650000,,,,,统一社会信用代码,2022-11-16 18:46:17,变更整体情况变好,500,B,3FD37735549669226468E4727C568CF4,,,i,up,650000,,,,2022-11-23 14:17:29,3205144274,,,无,32dd16a132819c49,,
,2022-11-15 00:00:00,0047#2319f79aa1d82340#20221115#25,,,,,统一社会信用代码,2022-11-16 18:46:18,,600,A,E94131BE5BC31353F2C7F45B26A417F3,,,i,no change,25,,,,2022-11-23 14:16:31,3205144623,,,无,2319f79aa1d82340,,
