ONLY_IDX,RCD_TM,DATA_STAT_VAL,USCC,RCD_UPDATE_TM,CLLT_PKG_NAME,ENT_NAME,SUPPLY_CENTRAL_ENT,CRED_SCORE,PROJ_NAME,DATA_DATE
22e817d32dc711ed8b525405db086097,,,,,,E95A8FFDB0FBA6BBC9E389FD4AB90267,BE5848AA425632C8999B6C87CA969748,200,F278F193320D43C34EDBF90F5F0F7554,202207
22ec65762dc711ed8b525405db086097,,,,,,98073ABA243DCE9EA11D133317936427,3A3D82849DECD3DDDF2A002985238DD4,200,0EBC64856B5D7953FFD4730546630984,202207
22efb7d72dc711ed8b525405db086097,,,,,,34A3CC21B6AE77F2F0D0D59F1D138602,A65AD015A16B471DCD4DAB0118A039AF,200,E3D67C042A1725E53B7530FF26B932AB,202207
230c357b2dc711ed8b525405db086097,,,,,,0C41B8D30C94B7561E8E58FBE9714FD8,570E352EEB65355D895CCE1638D7AD17,200,019EAED0EAF5F6DE0022A7E9CB33496B,202207
230c37a32dc711ed8b525405db086097,,,,,,0C41B8D30C94B7561E8E58FBE9714FD8,570E352EEB65355D895CCE1638D7AD17,200,58C3FC6377A1B86FC92C8052D59B9987,202207
231276ff2dc711ed8b525405db086097,,,,,,CB138B881C92457C4157FCE66CDC4F78,5AC0B63DCC827CD05EE7465A36BA760C,100,081A0F2BCC6619B9A79CDCD34027B456,202207
231aceb72dc711ed8b525405db086097,,,,,,570C7634E50E85FFC951CCF4ECBA79A9,110D522739C2A3AE8F2A3612F0CDA798,200,544CE1836A1A2443847B9DD3F89D0437,202207
23286a3a2dc711ed8b525405db086097,,,,,,4B8778971151AB34CDEB410D773CFF61,753F6863DDA5BEA3BD2A0D8DF07C3CC9,200,88FC960FE965659393CAF2C953A89F82,202207
232a95852dc711ed8b525405db086097,,,,,,20E9BF1F4DBB74E30110B75CF3235972,7374EDC29E108F6748A1CFDC355DD113,200,55E6B9BDBC227F8B62A8D51BC73F3B98,202207
233030552dc711ed8b525405db086097,,,,,,E0BDD5522A02C53EDC3454EEE22A2116,C0BC0D912FD8E2065348483A9B0B463C,200,45C9279C46C530D244D5B95C268B7D56,202207
233180502dc711ed8b525405db086097,,,,,,570C7634E50E85FFC951CCF4ECBA79A9,77CEFCF44C62B1521C1527E05C5E6635,200,40B50A06931EAD62EC4D0F65FC0F9B7B,202207
23328dea2dc711ed8b525405db086097,,,,,,A060988AE06D406BC80634E664F8FECD,DC8EE46AE68107F7E2BCC91264A4D52E,200,66C26ED7F0D016D7074362CC098CFFAF,202207
2332941d2dc711ed8b525405db086097,,,,,,A060988AE06D406BC80634E664F8FECD,DC8EE46AE68107F7E2BCC91264A4D52E,700,A9D3BC3D55B90D53A28640417B0C2402,202207
2344f9292dc711ed8b525405db086097,,,,,,7406B3F464D65D54B8C916B25924DDD3,F132093A7F33984495C391BF1059ED98,200,6D9BEE7650221D67E56AC23668D34399,202207
2347e57a2dc711ed8b525405db086097,,,,,,20E9BF1F4DBB74E30110B75CF3235972,0948984B19CE2F287ABE61597B5D2E38,200,3692B95F6E244F31077951711EECB64B,202207
